1755214162.1132257,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.118892,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1240435,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1285446,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1321344,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1358485,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1393397,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1425748,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1455696,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1490557,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.152,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1551304,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.158006,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.160708,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1635225,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1662676,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1690674,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1721864,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1753843,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1784072,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1812918,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.1843195,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.187125,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1899865,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1930861,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1962605,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.1991222,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.2023852,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.2054732,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.208305,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.2136474,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.2199297,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.2236395,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.2279003,10.0.0.2,10.0.0.3,1,98,0,0,benign,allowed
1755214162.2325153,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.2365217,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.239711,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.246972,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.250612,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.2540147,10.0.0.2,10.0.1.2,1,98,0,0,benign,allowed
1755214162.2568853,10.0.0.3,10.0.0.2,1,98,0,0,benign,allowed
1755214162.262352,10.0.0.2,10.0.1.2,1,98,0,0,benign,allowed
1755214162.2662668,10.0.0.2,10.0.1.2,1,98,0,0,benign,allowed
1755214162.270293,10.0.0.2,10.0.1.2,1,98,0,0,benign,allowed
